Date,Close,High,Low,Open,Volume,MA20,MA50,EMA20,EMA50,RSI,OBV,Fib23,Fib38,Fib50,Fib61,OilPrice,USDINR,SP500,newsenti
2007-11-27,5698.14990234375,5743.5498046875,5655.60009765625,5729.25,0,5777.9949951171875,5440.5569921875,5693.2161407705125,5451.591780385279,46.17945362308007,0.0,5650.775703125,5427.33724609375,5246.75,5066.16275390625,94.41999816894531,39.715999603271484,1428.22998046875,0.0
2007-11-28,5617.5498046875,5749.9501953125,5595.5,5699.5498046875,0,5765.434985351562,5463.014990234375,5686.009823048321,5458.099938201052,43.315472858931564,0.0,5650.775703125,5427.33724609375,5246.75,5066.16275390625,90.62000274658203,39.63100051879883,1469.02001953125,0.0
2007-11-29,5634.60009765625,5725.0,5612.10009765625,5617.7998046875,0,5752.132495117187,5484.78298828125,5681.113658725267,5465.021513081649,47.249500162250996,0.0,5650.775703125,5427.33724609375,5246.75,5066.16275390625,91.01000213623047,39.573001861572266,1469.719970703125,0.0
2007-11-30,5762.75,5782.5498046875,5632.64990234375,5633.89990234375,0,5746.947485351562,5505.390986328125,5688.888548370479,5476.6971400196235,56.0054390827165,0.0,5650.775703125,5427.33724609375,5246.75,5066.16275390625,88.70999908447266,39.45500183105469,1481.1400146484375,0.0
2007-12-03,5865.0,5878.7998046875,5754.60009765625,5765.4501953125,0,5743.577490234375,5527.739990234375,5705.66106757329,5491.924703156109,56.85751594139837,0.0,5650.775703125,5427.33724609375,5246.75,5066.16275390625,89.30999755859375,39.49399948120117,1472.4200439453125,0.0
2007-12-04,5858.35009765625,5897.25,5840.2998046875,5870.2001953125,0,5744.1300048828125,5548.15599609375,5720.202879962144,5506.294326469841,46.025490647639266,0.0,5650.775703125,5427.33724609375,5246.75,5066.16275390625,88.31999969482422,39.35200119018555,1462.7900390625,0.0
2007-12-05,5940.0,5949.2998046875,5859.9501953125,5861.89990234375,0,5751.805004882813,5568.3119921875,5741.1359390133675,5523.302392098474,51.32026782912652,0.0,5650.775703125,5427.33724609375,5246.75,5066.16275390625,87.48999786376953,39.39799880981445,1485.010009765625,0.0
2007-12-06,5954.7001953125,6027.0498046875,5919.7998046875,5941.0498046875,0,5760.422509765625,5588.628994140625,5761.475391994238,5540.219953008828,52.24427017992727,0.0,5662.3118046875,5436.6688046875,5254.2998046875,5071.9308046875,90.2300033569336,39.391998291015625,1507.3399658203125,0.0
2007-12-07,5974.2998046875,6042.10009765625,5894.7998046875,5963.60009765625,0,5774.2,5609.304990234375,5781.74438367931,5557.242692290345,53.07184847416905,0.0,5673.810228515625,5445.969885742187,5261.824951171875,5077.680016601563,88.27999877929688,39.36000061035156,1504.6600341796875,0.0
2007-12-10,5960.60009765625,6015.2998046875,5923.35009765625,5974.0,0,5791.375,5628.50599609375,5798.778261200923,5573.060629755675,59.24574148120383,0.0,5673.810228515625,5445.969885742187,5261.824951171875,5077.680016601563,87.86000061035156,39.34400177001953,1515.9599609375,0.0
2007-12-11,6097.25,6111.2001953125,5960.39990234375,5960.39990234375,0,5811.467504882812,5650.023994140625,5827.2041410865495,5593.61707564761,80.17107984605342,0.0,5726.602703125,5488.67374609375,5296.375,5104.07625390625,90.0199966430664,39.292999267578125,1477.6500244140625,0.0
2007-12-12,6159.2998046875,6175.64990234375,6005.4501953125,6067.0498046875,0,5822.5375,5671.830986328125,5858.832299524735,5615.800712080548,85.20270165009516,0.0,5775.842279296875,5528.503665039063,5328.599853515625,5128.696041992187,94.38999938964844,39.29399871826172,1486.5899658203125,0.0
2007-12-13,6058.10009765625,6185.39990234375,6040.39990234375,6159.25,0,5829.8375,5688.7769921875,5877.81018506107,5633.145786024694,74.4054884353251,0.0,5783.291279296875,5534.529165039063,5333.474853515625,5132.420541992187,92.25,39.308998107910156,1488.4100341796875,0.0
2007-12-14,6047.7001953125,6078.5498046875,6015.0498046875,6056.2001953125,0,5836.8800048828125,5705.557998046875,5893.990186037397,5649.402821683039,69.54963532931527,0.0,5783.291279296875,5534.529165039063,5333.474853515625,5132.420541992187,91.2699966430664,39.2400016784668,1467.949951171875,0.0
2007-12-17,5777.0,6039.9501953125,5740.60009765625,6037.9501953125,0,5830.347509765625,5717.38099609375,5882.848263557645,5654.406632597431,53.77147194488234,0.0,5783.291279296875,5534.529165039063,5333.474853515625,5132.420541992187,90.62999725341797,39.37300109863281,1445.9000244140625,0.0
2007-12-18,5742.2998046875,5874.60009765625,5710.60009765625,5777.60009765625,0,5828.417504882813,5730.524990234375,5869.462696046203,5657.853423659787,56.24093739129756,0.0,5783.291279296875,5534.529165039063,5333.474853515625,5132.420541992187,90.48999786376953,39.37300109863281,1454.97998046875,0.0
